series_name,set_id,set_code,set_name,scrydex_id,scrydex_url,scrydex_number_raw,number_key,scrydex_name,scrydex_rarity,scrydex_rarity_raw,scrydex_card_url,expected_image_url,db_numeric_max,beyond_db_max,jp_name,name_resolution_method,name_confidence,unresolved_reason,template_method,template_card_id,template_category,template_hp,template_types,template_stage,template_regulation_mark
SMシリーズ,575b3ae4-5c0c-4abc-93f8-f1f4cc71974a,SM1p,サン＆ムーン,sm1p_ja,https://scrydex.com/pokemon/expansions/strength-expansion-pack-sun-moon/sm1p_ja,71,71,Psychic Energy,,—,,https://images.scrydex.com/pokemon/sm1p_ja-71/large,68,YES,基本超エネルギー,GLOBAL_UNANIMOUS,HIGH,,GLOBAL_TEMPLATE,45ea1b1d-b127-4bc5-a121-f000610c923c,基本エネルギー,,[],,
SMシリーズ,234779b1-7c9a-442f-8f8e-de41d5de658c,SM2K,キミを待つ島々,sm2k_ja,https://scrydex.com/pokemon/expansions/islands-await-you/sm2k_ja,62,62,Lightning Energy,UR,UR,,https://images.scrydex.com/pokemon/sm2k_ja-62/large,61,YES,基本雷エネルギー,GLOBAL_UNANIMOUS,HIGH,,GLOBAL_TEMPLATE,bbcd9f31-e108-4f7c-b5b5-c7ab9720b842,Energy,,[],,
SMシリーズ,25678826-2811-4bff-9b3a-26e10c5db48c,SM2p,新たなる試練の向こう,sm2p_ja,https://scrydex.com/pokemon/expansions/facing-a-new-trial/sm2p_ja,66,66,Darkness Energy,UR,UR,,https://images.scrydex.com/pokemon/sm2p_ja-66/large,65,YES,基本悪エネルギー,GLOBAL_UNANIMOUS,HIGH,,GLOBAL_TEMPLATE,aed7d0ed-120a-4d46-817b-59ec7877289b,Energy,,[],,
SMシリーズ,25678826-2811-4bff-9b3a-26e10c5db48c,SM2p,新たなる試練の向こう,sm2p_ja,https://scrydex.com/pokemon/expansions/facing-a-new-trial/sm2p_ja,67,67,Water Energy,,—,,https://images.scrydex.com/pokemon/sm2p_ja-67/large,65,YES,基本水エネルギー,GLOBAL_UNANIMOUS,HIGH,,GLOBAL_TEMPLATE,959b583f-2cf7-4721-b521-91c8dd9ed3f8,Energy,,[],,
SMシリーズ,25678826-2811-4bff-9b3a-26e10c5db48c,SM2p,新たなる試練の向こう,sm2p_ja,https://scrydex.com/pokemon/expansions/facing-a-new-trial/sm2p_ja,68,68,Lightning Energy,,—,,https://images.scrydex.com/pokemon/sm2p_ja-68/large,65,YES,基本雷エネルギー,GLOBAL_UNANIMOUS,HIGH,,GLOBAL_TEMPLATE,bbcd9f31-e108-4f7c-b5b5-c7ab9720b842,Energy,,[],,
SMシリーズ,25678826-2811-4bff-9b3a-26e10c5db48c,SM2p,新たなる試練の向こう,sm2p_ja,https://scrydex.com/pokemon/expansions/facing-a-new-trial/sm2p_ja,69,69,Fighting Energy,,—,,https://images.scrydex.com/pokemon/sm2p_ja-69/large,65,YES,基本闘エネルギー,GLOBAL_UNANIMOUS,HIGH,,GLOBAL_TEMPLATE,ae767a6c-7cbd-4f31-8def-b9c0428e373e,Energy,,[],,
SMシリーズ,25678826-2811-4bff-9b3a-26e10c5db48c,SM2p,新たなる試練の向こう,sm2p_ja,https://scrydex.com/pokemon/expansions/facing-a-new-trial/sm2p_ja,70,70,Darkness Energy,,—,,https://images.scrydex.com/pokemon/sm2p_ja-70/large,65,YES,基本悪エネルギー,GLOBAL_UNANIMOUS,HIGH,,GLOBAL_TEMPLATE,aed7d0ed-120a-4d46-817b-59ec7877289b,Energy,,[],,
SMシリーズ,9f635209-aec1-4acf-84b7-8e77e6be7bc0,SM4A,超次元の暴獣,sm4a_ja,https://scrydex.com/pokemon/expansions/ultradimensional-beasts/sm4a_ja,62,62,Water Energy,UR,UR,,https://images.scrydex.com/pokemon/sm4a_ja-62/large,61,YES,基本水エネルギー,GLOBAL_UNANIMOUS,HIGH,,GLOBAL_TEMPLATE,959b583f-2cf7-4721-b521-91c8dd9ed3f8,Energy,,[],,
BWシリーズ,7816388b-32e3-4c5e-9815-b552741bee9c,BW1-Bb,ポケモンカードゲームBW 拡張パック「ブラックコレクション」,bw1b_ja,https://scrydex.com/pokemon/expansions/black-collection/bw1b_ja,54,54,Tornadus,SR,SR,,https://images.scrydex.com/pokemon/bw1b_ja-54/large,53,YES,トルネロス,SAME_SET,HIGH,,SAME_SET_TEMPLATE,9792ef70-5c71-4d07-943a-8f2d386ac890,Pokémon,110,"[""Colorless""]",たね,
BWシリーズ,7816388b-32e3-4c5e-9815-b552741bee9c,BW1-Bb,ポケモンカードゲームBW 拡張パック「ブラックコレクション」,bw1b_ja,https://scrydex.com/pokemon/expansions/black-collection/bw1b_ja,55,55,Reshiram,SR,SR,,https://images.scrydex.com/pokemon/bw1b_ja-55/large,53,YES,レシラム,SAME_SET,HIGH,,SAME_SET_TEMPLATE,f9c92ebe-71c5-4b87-bb96-42c3fdb3cc32,Pokémon,130,"[""Fire""]",たね,
