series_name,set_id,set_code,set_name,scrydex_id,scrydex_url,scrydex_number_raw,number_key,scrydex_name,scrydex_rarity,scrydex_rarity_raw,scrydex_card_url,expected_image_url,db_numeric_max,beyond_db_max
SMシリーズ,575b3ae4-5c0c-4abc-93f8-f1f4cc71974a,SM1p,サン＆ムーン,sm1p_ja,https://scrydex.com/pokemon/expansions/strength-expansion-pack-sun-moon/sm1p_ja,70,70,Fire Energy,,—,,https://images.scrydex.com/pokemon/sm1p_ja-70/large,68,YES
SMシリーズ,575b3ae4-5c0c-4abc-93f8-f1f4cc71974a,SM1p,サン＆ムーン,sm1p_ja,https://scrydex.com/pokemon/expansions/strength-expansion-pack-sun-moon/sm1p_ja,71,71,Psychic Energy,,—,,https://images.scrydex.com/pokemon/sm1p_ja-71/large,68,YES
SMシリーズ,234779b1-7c9a-442f-8f8e-de41d5de658c,SM2K,キミを待つ島々,sm2k_ja,https://scrydex.com/pokemon/expansions/islands-await-you/sm2k_ja,62,62,Lightning Energy,UR,UR,,https://images.scrydex.com/pokemon/sm2k_ja-62/large,61,YES
SMシリーズ,25678826-2811-4bff-9b3a-26e10c5db48c,SM2p,新たなる試練の向こう,sm2p_ja,https://scrydex.com/pokemon/expansions/facing-a-new-trial/sm2p_ja,66,66,Darkness Energy,UR,UR,,https://images.scrydex.com/pokemon/sm2p_ja-66/large,65,YES
SMシリーズ,25678826-2811-4bff-9b3a-26e10c5db48c,SM2p,新たなる試練の向こう,sm2p_ja,https://scrydex.com/pokemon/expansions/facing-a-new-trial/sm2p_ja,67,67,Water Energy,,—,,https://images.scrydex.com/pokemon/sm2p_ja-67/large,65,YES
SMシリーズ,25678826-2811-4bff-9b3a-26e10c5db48c,SM2p,新たなる試練の向こう,sm2p_ja,https://scrydex.com/pokemon/expansions/facing-a-new-trial/sm2p_ja,68,68,Lightning Energy,,—,,https://images.scrydex.com/pokemon/sm2p_ja-68/large,65,YES
SMシリーズ,25678826-2811-4bff-9b3a-26e10c5db48c,SM2p,新たなる試練の向こう,sm2p_ja,https://scrydex.com/pokemon/expansions/facing-a-new-trial/sm2p_ja,69,69,Fighting Energy,,—,,https://images.scrydex.com/pokemon/sm2p_ja-69/large,65,YES
SMシリーズ,25678826-2811-4bff-9b3a-26e10c5db48c,SM2p,新たなる試練の向こう,sm2p_ja,https://scrydex.com/pokemon/expansions/facing-a-new-trial/sm2p_ja,70,70,Darkness Energy,,—,,https://images.scrydex.com/pokemon/sm2p_ja-70/large,65,YES
SMシリーズ,9f635209-aec1-4acf-84b7-8e77e6be7bc0,SM4A,超次元の暴獣,sm4a_ja,https://scrydex.com/pokemon/expansions/ultradimensional-beasts/sm4a_ja,62,62,Water Energy,UR,UR,,https://images.scrydex.com/pokemon/sm4a_ja-62/large,61,YES
BWシリーズ,7816388b-32e3-4c5e-9815-b552741bee9c,BW1-Bb,ポケモンカードゲームBW 拡張パック「ブラックコレクション」,bw1b_ja,https://scrydex.com/pokemon/expansions/black-collection/bw1b_ja,54,54,Tornadus,SR,SR,,https://images.scrydex.com/pokemon/bw1b_ja-54/large,53,YES
