card_id,series_name,set_code,set_name,scrydex_id,card_number,card_name,current_rarity,scrydex_rarity,scrydex_rarity_raw,image_url,status
8f8f03a1-1552-4238-97e3-b4687e6138a0,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,001,モクロー,,,—,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038646_P_MOKURO.jpg,SCRYDEX_BLANK
30fe4bb7-350a-4dd4-a5c7-6a3c8ed9bb27,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,002,フクスロー,,,—,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038647_P_FUKUSURO.jpg,SCRYDEX_BLANK
93ddee72-8dea-4a60-8d75-8b6d90b1e360,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,003,ジュナイパー,,,—,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038648_P_JUNAIPA.jpg,SCRYDEX_BLANK
a7a8b94e-82e9-40d8-a9aa-9e1cfd202679,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,004,コソクムシ,,,—,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038649_P_KOSOKUMUSHI.jpg,SCRYDEX_BLANK
404010f9-77ff-4eb2-8daa-78e45ac2dbb2,ソード・シールド,SN,スタートデッキ コロコロコミックver,,001,ピカチュウV,,,,https://assets.tcgdex.net/ja/S/SN/001/high.webp,UNRESOLVED_SET
4550e1e5-1d7a-45de-b3a5-62e82734e558,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,005,グソクムシャ,,,—,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038650_P_GUSOKUMUSHA.jpg,SCRYDEX_BLANK
dd2c07bb-a491-44f3-9675-097e07252ebd,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,006,サルノリ,,,—,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038651_P_SARUNORI.jpg,SCRYDEX_BLANK
d47aafc2-137c-45a7-a3d3-921d5efd56d6,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,007,バチンキー,,,—,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038652_P_BACHINKI.jpg,SCRYDEX_BLANK
ee16d06a-d9bc-469a-8dfa-5f4c10ca5fdd,XYシリーズ,CP1,マグマ団VSアクア団 ダブルクライシス,cp1_ja,003,アクア団のタマザラシ,C,C,C,https://www.pokemon-card.com/assets/images/card_images/large/CP1/030818_P_AKUADANNOTAMAZARASHI.jpg,RARITY_OK
6e4d795b-106e-495f-bdfb-391f20bb0568,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,008,ゴリランダー,,,—,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038653_P_GORIRANDA.jpg,SCRYDEX_BLANK
b8f816a5-47eb-43a9-8dca-6ebce93e1ccf,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,009,ゴリランダーV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038654_P_GORIRANDAV.jpg,RARITY_CHANGE
ddc83447-0575-4319-a05c-800375a9a26e,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,010,ゴリランダーVMAX,,,RRR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038655_P_GORIRANDAVMAX.jpg,SCRYDEX_BLANK
be3a0bb8-809c-4873-8f3a-b01af20e6476,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,011,サッチムシ,,,—,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038656_P_SACCHIMUSHI.jpg,SCRYDEX_BLANK
47c4f673-d3a2-40f5-9cbb-b0aa8fe8569d,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,012,レドームシ,,,—,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038657_P_REDOMUSHI.jpg,SCRYDEX_BLANK
0288a6d7-ef02-4749-9781-3772f576ed86,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,013,イオルブ,,,—,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038658_P_IORUBU.jpg,SCRYDEX_BLANK
07bb7069-1869-4d16-90c4-cd0a43bb4d73,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,014,ヒメンカ,,,—,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038659_P_HIMENKA.jpg,SCRYDEX_BLANK
050c8b07-3aca-43c9-a71b-57e110b58ca3,SVシリーズ,SV1a,トリプレットビート,sv1a_ja,076,ニャローテ,AR,AR,AR,https://assets.tcgdex.net/ja/SV/SV1a/076/high.webp,RARITY_OK
359d021e-f933-4f7d-baaa-0ff1f3105d7f,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,015,ワタシラガ,,,—,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038660_P_WATASHIRAGA.jpg,SCRYDEX_BLANK
3a405360-7a58-4680-98c3-691f1a7776ae,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,016,ワタシラガV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038661_P_WATASHIRAGAV.jpg,RARITY_CHANGE
f956d6fa-24ba-4c66-9825-b514e92752b8,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,017,カジッチュ,,,—,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038662_P_KAJICCHU.jpg,SCRYDEX_BLANK
