card_number,scrydex_japanese_name,official_search_url,official_detail_links_found,search_page_contains_name
127,シルシュルー,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%B7%E3%83%AB%E3%82%B7%E3%83%A5%E3%83%AB%E3%83%BC&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
128,タギングル,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%BF%E3%82%AE%E3%83%B3%E3%82%B0%E3%83%AB&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
129,ハッサム,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%8F%E3%83%83%E3%82%B5%E3%83%A0&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
130,ブロロン,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%96%E3%83%AD%E3%83%AD%E3%83%B3&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
131,ブロロローム,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%96%E3%83%AD%E3%83%AD%E3%83%AD%E3%83%BC%E3%83%A0&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
132,テツノワダチex,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%86%E3%83%84%E3%83%8E%E3%83%AF%E3%83%80%E3%83%81ex&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
133,サーフゴー,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%B5%E3%83%BC%E3%83%95%E3%82%B4%E3%83%BC&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
134,オンバット,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%AA%E3%83%B3%E3%83%90%E3%83%83%E3%83%88&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
135,オンバーンex,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%AA%E3%83%B3%E3%83%90%E3%83%BC%E3%83%B3ex&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
136,モトトカゲ,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%A2%E3%83%88%E3%83%88%E3%82%AB%E3%82%B2&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
137,ポッポ,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%9D%E3%83%83%E3%83%9D&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
138,ピジョン,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%94%E3%82%B8%E3%83%A7%E3%83%B3&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
139,ピジョットex,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%94%E3%82%B8%E3%83%A7%E3%83%83%E3%83%88ex&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
140,プリン,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%97%E3%83%AA%E3%83%B3&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
141,プクリンex,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%97%E3%82%AF%E3%83%AA%E3%83%B3ex&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
142,ドードー,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%89%E3%83%BC%E3%83%89%E3%83%BC&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
143,ドードリオ,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%89%E3%83%BC%E3%83%89%E3%83%AA%E3%82%AA&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
144,メタモン,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%A1%E3%82%BF%E3%83%A2%E3%83%B3&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
145,カビゴン,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%AB%E3%83%93%E3%82%B4%E3%83%B3&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
146,キャモメ,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%AD%E3%83%A3%E3%83%A2%E3%83%A1&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
148,ホシガリス,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%9B%E3%82%B7%E3%82%AC%E3%83%AA%E3%82%B9&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
149,ヨクバリス,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%A8%E3%82%AF%E3%83%90%E3%83%AA%E3%82%B9&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
150,グルトン,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%B0%E3%83%AB%E3%83%88%E3%83%B3&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
151,パフュートン,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%91%E3%83%95%E3%83%A5%E3%83%BC%E3%83%88%E3%83%B3&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
152,ワッカネズミ,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%AF%E3%83%83%E3%82%AB%E3%83%8D%E3%82%BA%E3%83%9F&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
153,イッカネズミ,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%A4%E3%83%83%E3%82%AB%E3%83%8D%E3%82%BA%E3%83%9F&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
154,イキリンコex,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%A4%E3%82%AD%E3%83%AA%E3%83%B3%E3%82%B3ex&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
155,カラミンゴ,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%AB%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B4&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
156,エレキジェネレーター,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%A8%E3%83%AC%E3%82%AD%E3%82%B8%E3%82%A7%E3%83%8D%E3%83%AC%E3%83%BC%E3%82%BF%E3%83%BC&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
157,スーパーエネルギー回収,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%82%A8%E3%83%8D%E3%83%AB%E3%82%AE%E3%83%BC%E5%9B%9E%E5%8F%8E&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,False
