card_id,series_name,set_code,set_name,scrydex_id,card_number,card_name,current_rarity,scrydex_rarity,scrydex_rarity_raw
b8f816a5-47eb-43a9-8dca-6ebce93e1ccf,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,009,ゴリランダーV,,RR,RR
ddc83447-0575-4319-a05c-800375a9a26e,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,010,ゴリランダーVMAX,,RRR,RRR
3a405360-7a58-4680-98c3-691f1a7776ae,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,016,ワタシラガV,,RR,RR
306c57a5-a3d7-4174-8070-30ce75215b58,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,027,マルヤクデV,,RR,RR
347e9edc-88f0-4f55-a2d8-8a2c02ac14b9,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,028,マルヤクデVMAX,,RRR,RRR
b136a2e1-017d-4d0c-b4da-3046046fc2a3,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,031,ラプラスV,,RR,RR
9dc5d55f-2c6b-4195-94d3-36c7985f4f45,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,032,ラプラスVMAX,,RRR,RRR
a596bd2d-f8d0-4edd-a565-a7880a3d0421,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,056,パルスワンV,,RR,RR
7cf08544-de5b-40a9-a3d8-e92df9e68999,SVシリーズ,SV7,ステラミラクル,sv7_ja,096,デラックスボム,ー,ACE,ACE
a35778b7-1e8d-47fa-9eff-7fa6f78854dc,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,059,ストリンダーV,,RR,RR
308ce861-a222-41cf-b52a-77c26ceabe14,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,060,ストリンダーVMAX,,RRR,RRR
79dece4e-a14b-40cd-b737-d951fee264f5,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,084,イエッサンV,,RR,RR
7934ced1-9786-4915-b36e-6f08beb47d5e,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,088,ドラパルトV,,RR,RR
30b30c14-ee31-4dad-977d-abfcce28c587,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,089,ドラパルトVMAX,,RRR,RRR
5a3dd4a7-f3a3-4c72-a79f-827b4aa6bc52,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,201,フクスロー,,R,R
96759d7f-b6d8-40eb-8018-3c1ae00a9015,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,202,ジュナイパー,,R,R
47f970f0-aa7d-43cb-ba64-748f6a55d3cd,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,102,タイレーツV,,RR,RR
49ceb397-4bb9-4060-94a1-ad7e15299f33,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,108,クロバットV,,RR,RR
5e49561c-cf99-44e8-a42a-3213cc15d358,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,109,クロバットVMAX,,RRR,RRR
e29034b4-cfe5-4003-840a-9e6504f22ba1,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,124,ムゲンダイナV,,RR,RR
31677c9f-a019-4226-8ec1-d5353caf6a3a,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,125,ムゲンダイナVMAX,,RRR,RRR
cf1daa25-2acf-4839-b310-e977a79a8142,SMシリーズ,SM1p,サン＆ムーン,sm1p_ja,063,ドヒドイデGX,UR,HR,HR
7a2a11e1-4d5e-4644-a0c4-67550b0805b4,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,137,ザシアンV,,RR,RR
4c67d8dc-846d-47dc-8226-0a9096614da5,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,139,ザマゼンタV,,RR,RR
55999009-a49c-4bc3-995e-b5137b9dd49c,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,140,メタモンV,,RR,RR
a2ae6f1d-4453-4a8e-a9d7-ee7e961fc18f,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,141,メタモンVMAX,,RRR,RRR
9bf75627-1e00-44c6-a315-7dc6de3c8a46,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,154,バイウールーV,,RR,RR
033852ed-dc66-4184-8826-6184a071b7ba,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,155,ウッウV,,RR,RR
4ae1fa10-3fc5-4215-9d3e-82960ab485d0,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,191,ウカッツ,,SR,SR
1db49545-2a23-4655-b1a6-15ef82e44ae7,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,192,ジムトレーナー,,SR,SR
14821a1f-25f5-4aa4-9ca4-b8ea141cc960,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,193,とりつかい,,SR,SR
3dcae2fe-0a91-4f9b-a2ae-8ed89114448e,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,194,ネズ,,SR,SR
0489be8c-6da6-40fa-8d12-1bad79a25665,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,195,フウロ,,SR,SR
931c0760-6aff-4fdb-bc5e-99a706e069f5,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,196,ボールガイ,,SR,SR
f282c711-c930-4414-adb8-b90a51284ac9,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,197,ポケモンごっこ,,SR,SR
3d21e520-faf1-4bb9-a47d-ac98922926a4,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,198,マリィ,,SR,SR
1d626025-8cb5-42a5-91dd-2b84ae84933e,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,199,ローズ,,SR,SR
