card_id,series_name,set_code,set_name,scrydex_id,card_number,card_name,current_rarity,expected_image_url
9c6b2b37-9ee8-4049-b84e-8aa47df8f483,SMシリーズ,SM1M,コレクションムーン,sm1m_ja,071,ネストボール,UR,https://images.scrydex.com/pokemon/sm1m_ja-71/large
b9c52dca-1547-4822-b334-f80cb536d97b,SMシリーズ,SM1p,サン＆ムーン,sm1p_ja,059,ジュナイパーGX,HR,https://images.scrydex.com/pokemon/sm1p_ja-59/large
9c493606-b8e5-4329-85b2-18bc79a8eece,SMシリーズ,SM1p,サン＆ムーン,sm1p_ja,060,ガオガエンGX,HR,https://images.scrydex.com/pokemon/sm1p_ja-60/large
cf1daa25-2acf-4839-b310-e977a79a8142,SMシリーズ,SM1p,サン＆ムーン,sm1p_ja,063,ドヒドイデGX,UR,https://images.scrydex.com/pokemon/sm1p_ja-63/large
88562ec1-b3d8-4693-b645-841408618416,SMシリーズ,SM1p,サン＆ムーン,sm1p_ja,067,ダブル無色エネルギー,UR,https://images.scrydex.com/pokemon/sm1p_ja-67/large
204473e0-713e-4db1-a241-bf0416194c96,SMシリーズ,SM1S,コレクションサン,sm1s_ja,067,ラプラスGX,HR,https://images.scrydex.com/pokemon/sm1s_ja-67/large
41274613-a8f3-47e1-b3c4-f290933136a4,SMシリーズ,SM1S,コレクションサン,sm1s_ja,071,ハイパーボール,UR,https://images.scrydex.com/pokemon/sm1s_ja-71/large
41a3922a-360e-4d0d-8311-15cbedecae45,SMシリーズ,SM1S,コレクションサン,sm1s_ja,072,ロトム図鑑,UR,https://images.scrydex.com/pokemon/sm1s_ja-72/large
c8b581a5-b56a-4255-9c71-c1fd72c2e91e,SMシリーズ,SM2K,キミを待つ島々,sm2k_ja,056,バクガメスGX,HR,https://images.scrydex.com/pokemon/sm2k_ja-56/large
f53ff845-83ce-4fa5-a4a4-0db13f0ef026,SMシリーズ,SM2K,キミを待つ島々,sm2k_ja,060,フィールドブロアー,UR,https://images.scrydex.com/pokemon/sm2k_ja-60/large
8d831b17-8bc9-405b-99a0-a79a44a6f952,SMシリーズ,SM2K,キミを待つ島々,sm2k_ja,061,まんたんのくすり,UR,https://images.scrydex.com/pokemon/sm2k_ja-61/large
