card_id,set_code,card_number,card_name,current_rarity,scrydex_rarity,status
3262b574-be73-49fe-bf6b-ed5fbcaf200d,M1S,076,メガユキノオーex,UR,SR,CHANGE
d101e144-d068-4183-bdd0-fa757bd48ac9,M1S,077,メガライボルトex,UR,SR,CHANGE
fc0b0fab-0620-416b-a9f4-fb2d33a9d27f,M1S,078,メガサーナイトex,UR,SR,CHANGE
51103713-85d9-4c07-a5bb-9f732a3ead17,M1S,079,メガラティアスex,UR,SR,CHANGE
56eac2ff-1673-4420-b743-b70068bf4dca,M1S,080,メガガルーラex,UR,SR,CHANGE
650d6aec-4dfc-422b-bcff-5d17ec46c024,M1S,081,なかよしポフィン,UR,SR,CHANGE
0a50013e-2c6e-41ca-b01d-815ddbd31095,M1S,082,ふしぎなアメ,UR,SR,CHANGE
f8a11039-2ff7-4f21-8e14-f96f13c50be5,M1S,083,メガシグナル,UR,SR,CHANGE
42d6d70d-fbcb-46ba-98b8-ef85edc53076,M1S,084,アセロラのいたずら,UR,SR,CHANGE
ae66a6f5-b239-4253-8249-1eab35f23771,M1S,085,ミツルの思いやり,UR,SR,CHANGE
a8b9ec20-a773-4b41-b3cf-401c926a8e21,M1S,086,ミステリーガーデン,UR,SR,CHANGE
e5171e1e-c3cf-4f20-80c6-ccec1a6bc739,M2,065,プクリン,U,C,CHANGE
6bc3e6e7-16ed-4d1e-b4d8-460eb7a21345,M2,102,ポケモンいれかえ,SR,PROMO,CHANGE
83ad16bd-a21b-4307-a4d8-fc3ec80997bf,M6,082,バチンウニ,MUR,AR,CHANGE
d17d8d29-86ad-4d72-a7ab-48bbe2797981,M6,077,アメモース,MUR,AR,CHANGE
e03a6425-edcf-4486-93e7-77f0ee708b31,M6,078,ガーディ,MUR,AR,CHANGE
43ae2665-2bd9-46a6-ad7d-ef2cb4715db7,M6,079,ブーバーン,MUR,AR,CHANGE
099a8fc4-a35e-4fa2-a15e-009ff4128191,M6,080,カイオーガ,MUR,AR,CHANGE
381ca521-7c09-4ec4-a309-57b5a6585474,M6,081,エレキブル,MUR,AR,CHANGE
15b533ea-4457-426d-86a9-9bf7c6f1a661,M6,083,ラブトロス,MUR,AR,CHANGE
aa9a19bc-9ae8-480e-9bed-9c838fe04e51,M6,084,グラードン,MUR,AR,CHANGE
8eb32504-0a49-49c0-adfd-75531bf56f32,M6,085,マーイーカ,MUR,AR,CHANGE
62bb9f45-c378-4aac-8f57-43e41e3ddcde,M6,086,ルリリ,MUR,AR,CHANGE
b4898b33-1061-40c8-9957-335b2cf1b92c,M6,087,チルタリス,MUR,AR,CHANGE
8bb47bb8-3f21-4678-99c7-d757fde3edca,M6,088,カクレオン,MUR,AR,CHANGE
39dea0f5-f125-48af-afb8-69cca5566c8b,M6,089,メガグソクムシャex,MUR,SR,CHANGE
49586f21-86d0-4530-bf03-8dd302d2878a,M6,090,ヒートロトムex,MUR,SR,CHANGE
5ab69939-4101-4cc4-b2c4-a2d89b7c56f9,M6,091,ヨワシex,MUR,SR,CHANGE
ce1a6a46-6e68-4247-b9ba-ff15cf45c2f0,M6,092,ライコウex,MUR,SR,CHANGE
55add139-95ec-41f7-8960-d73f9706d37e,M6,093,メガゴルーグex,MUR,SR,CHANGE
136ac92d-eb4e-4240-bf2d-d86d5d262860,M6,094,メガカラマネロex,MUR,SR,CHANGE
c5845efc-578e-4452-967f-0a06630e9756,M6,095,メガレックウザex,MUR,SR,CHANGE
6a1787a4-7379-46d1-8673-901b9848e88b,M6,096,ファイアローex,MUR,SR,CHANGE
4c19459a-9072-4a5d-b19a-323704ff4543,M6,097,ぼうけんのランタン,MUR,SR,CHANGE
84ae8d72-1e94-40dd-a039-c955e5ce5d53,M6,098,とくちゅうチョッキ,MUR,SR,CHANGE
4ec825c1-2237-48b4-a522-8b594ab0ac7c,M6,099,ポケモンキャッチャー,MUR,SR,CHANGE
95957582-7230-45f4-a2cf-cf0204c2d49c,M6,100,MCの盛り上げ,MUR,SR,CHANGE
75e3dfb1-1826-444e-91b6-8f40162343aa,M6,101,ギリー,MUR,SR,CHANGE
ff570a52-e28b-402b-9392-70ef46fc20a6,M6,102,ヒガナの信頼,MUR,SR,CHANGE
4393fee0-dc33-4453-8001-645898a0884e,M6,103,フウとランの修行,MUR,SR,CHANGE
0c1fec2e-7533-473d-8f95-8f1eb83b94ea,M6,104,グロウ草エネルギー,MUR,SR,CHANGE
7427f543-85a5-488f-bf02-c78da19994f5,M6,105,ニトロ炎エネルギー,MUR,SR,CHANGE
787fd970-1b75-4dd8-bc6b-33a29479be41,M6,106,バブル水エネルギー,MUR,SR,CHANGE
55f975f9-925a-489c-b443-1583173c9c2a,M6,107,メガグソクムシャex,MUR,SAR,CHANGE
332f8127-b133-4ea1-8e23-2ad48dc09184,M6,108,ライコウex,MUR,SAR,CHANGE
bb4e9a28-bfbd-48d5-85a9-53a4585951ef,M6,109,メガゴルーグex,MUR,SAR,CHANGE
d0dce076-652b-4105-a54d-ef5849da783d,M6,110,メガレックウザex,MUR,SAR,CHANGE
3e5ab5c8-86c5-4b49-9e48-72ab126e52be,M6,111,ギリー,MUR,SAR,CHANGE
b779a3f1-c862-4b47-95b1-7eab6219aae3,M6,112,ヒガナの信頼,MUR,SAR,CHANGE
