set_code,set_name,card_number,db_name,db_rarity,db_image_url,scrydex_id,scrydex_set_url
SV4a,シャイニートレジャーex,251,タイカイデン,,"https://images.scrydex.com/magicthegathering/HOB-251/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-251/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-251/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,252,プクリン,,"https://images.scrydex.com/magicthegathering/HOB-252/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-252/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-252/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,253,ケーシィ,,"https://images.scrydex.com/magicthegathering/HOB-253/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-253/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-253/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,254,ユンゲラー,,"https://images.scrydex.com/magicthegathering/HOB-254/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-254/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-254/large""}],""rulings"":[],""printings"":[""HOB"",""PW26""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,255,ピィ,,"https://images.scrydex.com/magicthegathering/HOB-255/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-255/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-255/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,256,ネイティ,,"https://images.scrydex.com/magicthegathering/HOB-256/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-256/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-256/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,257,ネイティオ,,"https://images.scrydex.com/magicthegathering/HOB-257/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-257/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-257/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,258,ラルトス,,"https://images.scrydex.com/magicthegathering/HOB-258/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-258/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-258/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,259,キルリア,,"https://images.scrydex.com/magicthegathering/HOB-259/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-259/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-259/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,260,フワンテ,,"https://images.scrydex.com/magicthegathering/HOB-260/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-260/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-260/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
