card_id,set_code,card_number,card_name,current_rarity,scrydex_rarity,scrydex_label,status,scrydex_url
ea686f3d-bb8e-4557-b5af-ef19032ddf2e,M-P,001,チコリータ,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/chikorita/mp_ja-1
143bb980-81dc-434c-96cc-e57ba6382f7d,M-P,010,基本炎エネルギー,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/basic-fire-energy/mp_ja-10
09af60da-b375-405b-8c02-fc0a3294e547,M-P,100,ヒカリ,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/dawn/mp_ja-100
63a333a6-551b-4c6e-9420-5c29ed35b7cb,M-P,101,フシギダネ,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/bulbasaur/mp_ja-101
05d96b09-9f61-43c8-b6f2-6d17281db8a9,M-P,102,ヒトカゲ,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/charmander/mp_ja-102
5bc8e1f4-427d-4929-9c82-73a75cffe428,M-P,103,ゼニガメ,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/squirtle/mp_ja-103
469074a8-66ac-40e4-9c69-d1768e3346fa,M-P,104,チコリータ,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/chikorita/mp_ja-104
1e300b93-d99f-4414-8ab3-748ace1f316d,M-P,105,ヒノアラシ,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/cyndaquil/mp_ja-105
a9b45193-33e4-4683-adac-fc94edb6bd45,M-P,106,ワニノコ,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/totodile/mp_ja-106
f6dcc7f1-7e5a-4787-bc5a-51832fb0199a,M-P,107,キモリ,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/treecko/mp_ja-107
9cd12912-f8eb-4ded-94a3-869053dcda5a,M-P,108,アチャモ,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/torchic/mp_ja-108
89ba2131-907b-4fe3-9a64-6bc5a306839c,M-P,109,ミズゴロウ,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/mudkip/mp_ja-109
2ef34251-ccdd-481c-85a7-665438ce0903,M-P,011,基本水エネルギー,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/basic-water-energy/mp_ja-11
4a7ec91b-ee0b-42fe-aef9-49d2d7398e54,M-P,110,ナエトル,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/turtwig/mp_ja-110
17d74ee3-3250-496f-be1d-dc4544bc2b6e,M-P,111,ヒコザル,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/chimchar/mp_ja-111
c4056d54-877f-4aa8-b05e-67f19a4e2b41,M-P,112,ポッチャマ,PROMO,PROMO,プロモ,MATCH,https://scrydex.com/pokemon/cards/piplup/mp_ja-112
