card_id,set_id,series_name,set_code,set_name,card_number,number_key,card_name,old_image_url,reason,detail
9fb68e81-b67e-4064-ac61-d7ad110144f1,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,ソード・シールド,S12a,VSTARユニバース,256,256,基本闘エネルギー,,CARD_NOT_FOUND,
f97dcff1-08c3-46d6-b45c-63388051b0eb,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,ソード・シールド,S12a,VSTARユニバース,257,257,基本悪エネルギー,,CARD_NOT_FOUND,
33908657-cd8b-4cfd-9946-a52deedf9ac6,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,ソード・シールド,S12a,VSTARユニバース,258,258,基本鋼エネルギー,,CARD_NOT_FOUND,
568745e2-f5b5-442c-a0fa-3230ec94c7c9,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,ソード・シールド,S12a,VSTARユニバース,259,259,オリジンパルキアVSTAR,https://assets.tcgdex.net/ja/S/S12a/259/high.webp,CARD_NOT_FOUND,
a77aac64-2e84-454b-8f3f-e12da7e81d94,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,ソード・シールド,S12a,VSTARユニバース,260,260,オリジンディアルガVSTAR,https://assets.tcgdex.net/ja/S/S12a/260/high.webp,CARD_NOT_FOUND,
608b0260-ea80-4164-8763-60dce5ca94e5,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,ソード・シールド,S12a,VSTARユニバース,261,261,ギラティナVSTAR,https://assets.tcgdex.net/ja/S/S12a/261/high.webp,CARD_NOT_FOUND,
c2d87edb-f856-404b-b113-ecad5b432e09,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,ソード・シールド,S12a,VSTARユニバース,262,262,アルセウスVSTAR,https://assets.tcgdex.net/ja/S/S12a/262/high.webp,CARD_NOT_FOUND,
b625b916-14ae-4407-8bf8-354d4d3279a7,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,ソード・シールド,S12a,VSTARユニバース,255,255,基本超エネルギー,,CARD_NOT_FOUND,
dd3feaf1-86b4-4378-b743-8f50b480d71a,80bdd6cc-3aa6-4299-b5b1-43a5f80af030,ソード・シールド,S8b,VMAXクライマックス,274,274,メロン,https://www.pokemon-card.com/assets/images/card_images/large/S8b/041102_T_MERON.jpg,CARD_NOT_FOUND,
32e80b8e-edc0-4955-b2d0-676aa17b6892,80bdd6cc-3aa6-4299-b5b1-43a5f80af030,ソード・シールド,S8b,VMAXクライマックス,276,276,ユウリ,https://www.pokemon-card.com/assets/images/card_images/large/S8b/041104_T_YUURI.jpg,CARD_NOT_FOUND,
