card_id,set_id,series_name,set_code,set_name,card_number,number_key,card_name,scrydex_id,scrydex_card_id,scrydex_detail_url,scrydex_image_url,image_discovery_source,old_image_url,old_image_source_note,old_source_kind,needs_update
e5767f10-a25f-4d74-8b90-ee73c5bfec55,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,042,42,ゴルバット,swsh10a_ja,swsh10a_ja-42,https://scrydex.com/pokemon/cards/golbat/swsh10a_ja-42?variant=normal,https://images.scrydex.com/pokemon/swsh10a_ja-42/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/042/high.webp,TCGdex,TCGDEX,YES
86c16c51-0bd6-4775-9be2-a690017cda6b,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,085,85,ススキ,swsh10a_ja,swsh10a_ja-85,https://scrydex.com/pokemon/cards/iscan/swsh10a_ja-85?variant=holofoil,https://images.scrydex.com/pokemon/swsh10a_ja-85/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/085/high.webp,TCGdex,TCGDEX,YES
95a23c1b-1ee6-4ed6-a4ee-afcb224dde49,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,041,41,ズバット,swsh10a_ja,swsh10a_ja-41,https://scrydex.com/pokemon/cards/zubat/swsh10a_ja-41?variant=normal,https://images.scrydex.com/pokemon/swsh10a_ja-41/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/041/high.webp,TCGdex,TCGDEX,YES
f1a33cdc-9d6e-42ee-9bc8-b0ce68e75789,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,053,53,ヌメラ,swsh10a_ja,swsh10a_ja-53,https://scrydex.com/pokemon/cards/goomy/swsh10a_ja-53?variant=normal,https://images.scrydex.com/pokemon/swsh10a_ja-53/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/053/high.webp,TCGdex,TCGDEX,YES
9efb8ae4-44b6-4259-bd13-ea46e5f61cd2,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,066,66,災いの箱,swsh10a_ja,swsh10a_ja-66,https://scrydex.com/pokemon/cards/box-of-disaster/swsh10a_ja-66?variant=normal,https://images.scrydex.com/pokemon/swsh10a_ja-66/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/066/high.webp,TCGdex,TCGDEX,YES
bbc0556c-4269-493f-9235-d935af616753,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,001,1,パラス,swsh10a_ja,swsh10a_ja-1,https://scrydex.com/pokemon/cards/paras/swsh10a_ja-1?variant=normal,https://images.scrydex.com/pokemon/swsh10a_ja-1/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/001/high.webp,TCGdex,TCGDEX,YES
6063a591-efe1-40a8-9b31-5f93d38aa296,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,003,3,ヒスイ マルマインV,swsh10a_ja,swsh10a_ja-3,https://scrydex.com/pokemon/cards/hisuian-electrode-v/swsh10a_ja-3?variant=holofoil,https://images.scrydex.com/pokemon/swsh10a_ja-3/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/003/high.webp,TCGdex,TCGDEX,YES
8aacee19-29df-4666-9331-0b8c1764597a,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,002,2,パラセクト,swsh10a_ja,swsh10a_ja-2,https://scrydex.com/pokemon/cards/parasect/swsh10a_ja-2?variant=normal,https://images.scrydex.com/pokemon/swsh10a_ja-2/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/002/high.webp,TCGdex,TCGDEX,YES
f3be1537-b461-4534-b41a-81657d2e908e,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,004,4,ケムッソ,swsh10a_ja,swsh10a_ja-4,https://scrydex.com/pokemon/cards/wurmple/swsh10a_ja-4?variant=normal,https://images.scrydex.com/pokemon/swsh10a_ja-4/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/004/high.webp,TCGdex,TCGDEX,YES
0293692b-832b-4ca8-b399-54e38220ffce,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,005,5,カラサリス,swsh10a_ja,swsh10a_ja-5,https://scrydex.com/pokemon/cards/silcoon/swsh10a_ja-5?variant=normal,https://images.scrydex.com/pokemon/swsh10a_ja-5/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/005/high.webp,TCGdex,TCGDEX,YES
e50f7f6f-6fb9-466a-ad6d-93e684064343,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,006,6,アゲハント,swsh10a_ja,swsh10a_ja-6,https://scrydex.com/pokemon/cards/beautifly/swsh10a_ja-6?variant=holofoil,https://images.scrydex.com/pokemon/swsh10a_ja-6/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/006/high.webp,TCGdex,TCGDEX,YES
c9b9bb89-c9fc-409b-a4b0-fa77479e241e,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,007,7,マユルド,swsh10a_ja,swsh10a_ja-7,https://scrydex.com/pokemon/cards/cascoon/swsh10a_ja-7?variant=normal,https://images.scrydex.com/pokemon/swsh10a_ja-7/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/007/high.webp,TCGdex,TCGDEX,YES
e5bfd0a2-27bd-4785-9a49-f11b6a1ea10b,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,008,8,ドクケイル,swsh10a_ja,swsh10a_ja-8,https://scrydex.com/pokemon/cards/dustox/swsh10a_ja-8?variant=normal,https://images.scrydex.com/pokemon/swsh10a_ja-8/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/008/high.webp,TCGdex,TCGDEX,YES
6adc1423-8b89-4b5f-a71e-01ea740f07f5,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,009,9,ユキカブリ,swsh10a_ja,swsh10a_ja-9,https://scrydex.com/pokemon/cards/snover/swsh10a_ja-9?variant=normal,https://images.scrydex.com/pokemon/swsh10a_ja-9/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/009/high.webp,TCGdex,TCGDEX,YES
b13d5969-9235-4626-8475-84d2027f2e55,54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,010,10,ユキノオー,swsh10a_ja,swsh10a_ja-10,https://scrydex.com/pokemon/cards/abomasnow/swsh10a_ja-10?variant=normal,https://images.scrydex.com/pokemon/swsh10a_ja-10/medium,EXPANSION_HTML,https://assets.tcgdex.net/ja/S/S10a/010/high.webp,TCGdex,TCGDEX,YES
