series_name,set_code,set_name,scrydex_id,scrydex_url,card_number
SMシリーズ,SM1p,サン&ムーン,sm1p_ja,https://scrydex.com/pokemon/expansions/strength-expansion-pack-sun-moon/sm1p_ja,69
SMシリーズ,SM1p,サン&ムーン,sm1p_ja,https://scrydex.com/pokemon/expansions/strength-expansion-pack-sun-moon/sm1p_ja,72
SMシリーズ,SM1p,サン&ムーン,sm1p_ja,https://scrydex.com/pokemon/expansions/strength-expansion-pack-sun-moon/sm1p_ja,73
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,127
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,128
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,129
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,130
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,131
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,132
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,133
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,134
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,135
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,136
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,137
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,138
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,139
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,140
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,141
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,142
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,143
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,144
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,145
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,146
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,148
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,149
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,150
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,151
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,152
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,153
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,154
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,155
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,156
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,157
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,158
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,159
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,160
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,161
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,162
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,163
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,164
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,165
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,166
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,167
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,1
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,2
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,3
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,4
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,5
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,6
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,7
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,8
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,9
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,10
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,11
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,13
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,14
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,15
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,16
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,17
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,18
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,19
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,20
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,21
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,22
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,23
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,24
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,25
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,26
