card_id,series_name,set_code,set_name,card_number,name,rarity,image_url,scrydex_id,scrydex_url
b625b916-14ae-4407-8bf8-354d4d3279a7,ソード・シールド,S12a,VSTARユニバース,255,基本超エネルギー,SR,"https://images.scrydex.com/magicthegathering/HOB-255/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-255/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-255/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",swsh12a_ja,https://scrydex.com/pokemon/expansions/vstar-universe/swsh12a_ja
9fb68e81-b67e-4064-ac61-d7ad110144f1,ソード・シールド,S12a,VSTARユニバース,256,基本闘エネルギー,SR,"https://images.scrydex.com/magicthegathering/HOB-256/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-256/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-256/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",swsh12a_ja,https://scrydex.com/pokemon/expansions/vstar-universe/swsh12a_ja
f97dcff1-08c3-46d6-b45c-63388051b0eb,ソード・シールド,S12a,VSTARユニバース,257,基本悪エネルギー,SR,"https://images.scrydex.com/magicthegathering/HOB-257/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-257/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-257/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",swsh12a_ja,https://scrydex.com/pokemon/expansions/vstar-universe/swsh12a_ja
33908657-cd8b-4cfd-9946-a52deedf9ac6,ソード・シールド,S12a,VSTARユニバース,258,基本鋼エネルギー,SR,"https://images.scrydex.com/magicthegathering/HOB-258/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-258/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-258/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",swsh12a_ja,https://scrydex.com/pokemon/expansions/vstar-universe/swsh12a_ja
568745e2-f5b5-442c-a0fa-3230ec94c7c9,ソード・シールド,S12a,VSTARユニバース,259,オリジンパルキアVSTAR,UR,"https://images.scrydex.com/magicthegathering/HOB-259/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-259/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-259/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",swsh12a_ja,https://scrydex.com/pokemon/expansions/vstar-universe/swsh12a_ja
a77aac64-2e84-454b-8f3f-e12da7e81d94,ソード・シールド,S12a,VSTARユニバース,260,オリジンディアルガVSTAR,UR,"https://images.scrydex.com/magicthegathering/HOB-260/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-260/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-260/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",swsh12a_ja,https://scrydex.com/pokemon/expansions/vstar-universe/swsh12a_ja
608b0260-ea80-4164-8763-60dce5ca94e5,ソード・シールド,S12a,VSTARユニバース,261,ギラティナVSTAR,UR,"https://images.scrydex.com/magicthegathering/HOB-261/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-261/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-261/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",swsh12a_ja,https://scrydex.com/pokemon/expansions/vstar-universe/swsh12a_ja
c2d87edb-f856-404b-b113-ecad5b432e09,ソード・シールド,S12a,VSTARユニバース,262,アルセウスVSTAR,UR,"https://images.scrydex.com/magicthegathering/HOB-262/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-262/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-262/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",swsh12a_ja,https://scrydex.com/pokemon/expansions/vstar-universe/swsh12a_ja
46d43fad-3ec0-4180-8fb0-0277995872cd,ソード・シールド,S8b,VMAXクライマックス,251,ザマゼンタV,CSR,"https://images.scrydex.com/magicthegathering/HOB-251/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-251/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-251/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",swsh8b_ja,https://scrydex.com/pokemon/expansions/vmax-climax/swsh8b_ja
52274923-0a5f-4a0c-bbc8-a890819fd0b5,ソード・シールド,S8b,VMAXクライマックス,252,レックウザVMAX,CSR,"https://images.scrydex.com/magicthegathering/HOB-252/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-252/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-252/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",swsh8b_ja,https://scrydex.com/pokemon/expansions/vmax-climax/swsh8b_ja
90b0817d-0bce-4d3a-9a18-83340ecbd463,ソード・シールド,S8b,VMAXクライマックス,253,ジュラルドンVMAX,CSR,"https://images.scrydex.com/magicthegathering/HOB-253/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-253/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-253/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",swsh8b_ja,https://scrydex.com/pokemon/expansions/vmax-climax/swsh8b_ja
